,name,link,city
80,Route 66 Gold Miners Inc,http://www.route66goldminers.org/,Brea
81,Sacramento Mineral Society,http://www.sacramentomineralsociety.org/,Sacramento
82,Sacramento Valley Detecting Buffs,http://www.sacramentovalleydetectingbuffs.com/,North Highlands
83,Salinas Valley Rock and Gem Club,https://salinasrockandgem.pagecloud.com/,Salinas
84,San Diego Gem and Mineral Society,http://www.sdmg.org/,San Diego
85,San Diego Lapidary Society,http://sandiegolapidarysociety.org/,San Diego
86,"San Francisco Gem and Mineral Society, Inc.",http://www.sfgms.org/,San Francisco
87,San Joaquin Valley Lapidary Society,http://sjvls.blogspot.com/,Bakersfield
88,San Luis Obispo Gem & Mineral Club,http://www.slogem.org/,San Luis Obispo
89,"Santa Ana Rock & Mineral Club, Inc.",http://www.sarmclub.org/,Santa Ana
90,Santa Clara Valley Gem & Mineral Society,http://www.scvgms.org/,San Jose
91,Santa Cruz Mineral and Gem Society,https://www.facebook.com/scmgs/,Santa Cruz
92,Santa Lucia Rockhounds,http://www.slrockhounds.org/,Paso Robles
93,"Santa Rosa Mineral And Gem Society, Inc.",http://www.srmgs.org/,Santa Rosa
94,Searchers Gem and Mineral Society,https://www.searchersrocks.org/,Anaheim
95,"Searles Lake Gem and Mineral Society, Inc.",http://www1.iwvisp.com/tronagemclub/,Trona
96,Sequoia Gem and Mineral Society,http://www.sequoiagemandmineralsociety.org/,Redwood City
97,Shadow Mountain Gem & Mineral Society,http://www.shadowmountaingemmineral.org/,Palm Springs
98,Shasta Gem & Mineral Society,http://www.shastagemandmineral.com/,Redding
99,Sierra Pelona Rock Club,http://www.sierrapelona.com/,Newhall
100,South Bay Lapidary & Mineral Society,https://southbaylapidaryandmineralsociety.com/,Torrance
101,South Orange County Gem & Mineral Society,https://www.facebook.com/South-Orange-County-Gem-Mineral-Society-255366124502612/,San Clemente
102,Southern California Paleontological Society,http://socalpaleo.com/,Los Angeles
103,Stockton Lapidary & Mineral Club,http://www.stocktonlapidary.com/,Stockton
104,Sutter Buttes Gem & Mineral Society,https://sutterbuttesgemmin.org/,Marysville
105,Tehachapi Valley Gem & Mineral Society,http://www.tvgms.org/,Tehachapi
106,Tule Gem and Mineral Society,http://www.tulegem.com/,Farmersville
107,Vallejo Gem & Mineral Society,http://www.vjgems.org/,Vallejo
108,"Valley Prospectors, Inc.",https://www.valleyprospectors.com/,San Bernardino
109,"Ventura Gem & Mineral Society, Inc",http://vgms.org/,Ventura
110,Victor Valley Gem and Mineral Club,http://www.vvgmc.org/,Victorville
111,Vista Gem & Mineral Society,http://www.vistarocks.org/,Vista
112,West Coast Prospectors & Treasure Hunters Association,http://westcoasters.org/,Garden Grove
113,West End Prospectors Corporation,http://www.wepcgold.com,Norco
114,"Whittier Gem and Mineral Society, Inc.",http://wgmsca.com/index.html,Whittier
115,"Woodland Hills Rock Chippers, Inc.",http://www.rockchippers.org/,San Fernando Valley
116,Yucaipa Valley Gem & Mineral Society,http://www.yvgms.org/wiki/,Yucaipa
117,Canon City Geology Club,http://www.canoncitygeologyclub.com/,Canon City
118,Colorado Gold Camp,http://coloradogoldcamp.com/,Frisco
119,Colorado Mineral Society,http://www.coloradomineralsociety.org/,Lakewood
120,Colorado Prospector,http://www.coloradoprospector.com/,Alamosa
121,Colorado Springs Mineral Society,http://www.csms1936.com/,Colorado Springs
122,Columbine Gem and Mineral Society,http://rockaholics.org/,Salida
123,Denver Gem and Mineral Guild,http://denvergem.org/index.html,Denver
124,Flatirons Mineral Club,http://flatironsmineralclub.org/,Boulder
125,Fort Collins Rockhounds,http://www.fortcollinsrockhounds.org/,Fort Collins
126,Four Corners Gem & Mineral Club,http://www.durangorocks.org/,Durango
127,Friends of Mineralogy - Colorado Chapter ,http://friendsofmineralogycolorado.org/,Denver
128,Grand Junction Gem & Mineral Club,http://www.grandjunctionrockclub.org/,Grand Junction
129,Lake George Gem & Mineral club,http://www.lggmclub.org/,Lake George
130,"Littleton Gem and Mineral Club, Inc.",http://littletongemandmineralclub.com/,Littleton
131,Mile High Rock and Mineral Society,http://www.milehirams.com/,Arvada
132,North Jeffco Gem & Mineral Club,http://www.peaktopeak.com/njeffco/index.php,Arvada
133,Pueblo Rockhounds,http://www.pueblorockhounds.org/,Pueblo
134,Western Interior Paleontological Society,http://www.westernpaleo.org/,Denver
135,Bristol Gem & Mineral Club,http://bristolgem.org/,Bristol
136,Danbury Mineralogical Society,http://danburymineralogicalsociety.weebly.com/,Danbury
137,Lapidary and Mineral Society of Central Connecticut,http://www.lmscc.org/,Meriden
138,New Haven Mineral Club,http://www.newhavenmineralclub.org/,New Haven
139,Stamford Mineralogical Society,http://www.stamfordmineralsociety.org/,Stamford
140,"Delaware Mineralogical Society, Inc.",http://www.delminsociety.net/,Wilmington
141,Canaveral Mineral & Gem Society,http://www.canaveral-mgs.com/,Melbourne
142,Central Brevard Rock and Gem Club,http://www.centralbrevardgems.org/,Merritt Island
143,Central Florida Mineral and Gem Society,http://www.cfmgs.org/,Winter Park
144,Florida Fossil Hunters,http://floridafossilhunters.com/,Orlando
145,Florida Gold Coast Gem & Mineral Society,http://fgcgms.com/main/,Hollywood
146,Fossil Club of Lee County,http://www.fcolc.com/,Ft. Myers
147,Gainesville Gem & Mineral Society,http://gainesvillegms.weebly.com/,Gainesville
148,Gem and Mineral Society of the Palm Beaches,http://www.gemandmineralsociety.org/,West Palm Beach
149,"Imperial Bone Valley Gem, Mineral, & Fossil Society",http://www.bonevalley.net/,Lakeland
150,"Jacksonville Gem and Mineral Society, Inc.",http://www.jaxgemandmineral.org/,Jacksonville
151,"Miami Mineralogical and Lapidary Guild, Inc.",http://www.mmlg-inc.org/,Miami
152,Playground Gem and Mineral Society,http://playgroundgem.org/,Ft. Walton Beach
153,Southwest Florida Fossil Society,http://www.southwestfloridafossilsociety.org/,Punta Gorda
154,St Lucie County Rock and Gem Club,http://www.slcrockandgem.org/,Port St Lucie
155,Suncoast Gem and Mineral Society,http://sgams.com/,St Petersburg
156,Tampa Bay Fossil Club,http://www.tampabayfossilclub.com/,Palm Harbor
157,"Tampa Bay Mineral & Science Club, Inc.",http://www.tampabayrockclub.com/,Tampa
158,The Villages Gem and Mineral Society,http://www.thevillagesgemandmineralsociety.com/,The Villages
159,Tomoka Faceters Guild,http://www.tomokafacetersguild.org/index.html,Palm Coast
160,Withlacoochee Rockhounds,http://www.withlacoocheerockhounds.com/,Spring Hill
161,Athens Rock and Gem Club,http://www.athensrockandgemclub.org/,Athens
162,Augusta Gem & Mineral Society,http://agams.club/,Augusta
163,Cobb County Gem and Mineral Society,https://www.ccgms.org/,Marietta
164,"Georgia Mineral Society, Inc.",http://www.gamineral.org/,Norcross
165,Mid-Georgia Gem and Mineral Society,http://midgagmsorg.ipage.com/,Macon
166,Rome Georgia Mineral Society Inc.,https://rogams.wordpress.com/,Rome
167,"Hui Pohaku 'O Hawai'i Rock & Mineral Society of Hawai'i, Inc.",http://pohakugalore.net/Hui_pohaku/Hiu_pohaku_1.html,Honolulu
168,"Hells Canyon Gem Club, Inc.",http://www.hellscanyongemclub.com/,Lewiston
169,Idaho Falls Gem & Mineral Society,http://ifgemmineral.weebly.com/,Idaho Falls
170,"Idaho Gem Club, Inc.",http://www.idahogemclub.com/,Boise
171,Magic Valley Gem Club,http://magicvalleygemclub.org/,Twin Falls
172,North Idaho Mineral Club,http://www.northidahomineralclub.com/,Coeur d'Alene
173,Owyhee Gem & Mineral Society,http://www.owyheerocks.com/,Caldwell
174,Pend Oreille Rock and Gem Club,https://pendoreillerockandgemclub.wordpress.com/,Oldtown
175,Southeast Idaho Gem and Mineral Society,https://www.facebook.com/SEIGMS,Boise
176,Black Hawk Gem & Mineral Club,http://www.blackhawkgemandmineralclub.com/,Rock Island
177,Central Illinois Gem & Mineral Club,http://rmkapta.wixsite.com/cigmc,Decatur
178,Chicago Rocks & Minerals Society,http://www.chicagorocks.org/,Skokie
179,Elgin Rock Club,http://elginrockclub.org/,Elgin
180,"Geodeland Earth Science Clubs, Inc.",http://www.geodeland.com/,Macomb
181,Lincoln Orbit Earth Science Society,http://www.loess.org/,Springfield
182,Midwest Historical Research Society,http://www.mhrsusa.com/,Chicago
183,Northwest Illinois Rock Club,http://nwilrockclubfrpt.blogspot.com/,Freeport
184,Peoria Academy of Science Geology Section,http://www.pasgeology.com/,Peoria
185,Southern Illinois Earth Science Club,http://www.siesclub.org/,Benton
186,West Central Illinois Rock & Mineral Club,http://www.rockchatter.com/,Macomb
187,West Suburban Lapidary Club,http://www.westsuburbanlapidaryclub.com/,Elmhurst
188,500 Earth Sciences Club,http://www.500earthsciencesclub.org/,Indianapolis
189,Brown County Rock and Mineral Club,http://browncountyrock.webs.com/,Nashville
190,Calumet Gem & Mineral Society,https://www.facebook.com/calumetrockclub,Crown Point
191,Evansville Lapidary Society,http://evansvillelapidarysociety.tumblr.com/,Evansville
192,"Eastern Indiana Gem & Geological Society, Inc.",http://eiggs.weebly.com/,Richmond
193,"Lawrence County Rock Club, Inc",http://www.lawrencecountyrockclub.org/,Bedford
194,"Michiana Gem & Mineral Society, Inc.",http://www.michianagms.org/,South Bend
195,Three Rivers Gem & Mineral Society,http://3riversgem_mineral.tripod.com/,Fort Wayne
196,Cedar Valley Rocks and Minerals Society,http://www.cedarvalleyrockclub.org/,Cedar Rapids
197,Des Moines Lapidary Society,http://dmlapidary.org/,Des Moines
198,Geology Club @ Cornell College,http://orgs.cornellcollege.edu/geo_club/,Mount Vernon
199,Iowa State University Geology Club,https://www.facebook.com/ISUGEOCLUB/,Ames
200,River Valley Rockhounds,http://amfed.org/mwf/states/Iowa/RiverValley.html,Fort Dodge
201,The Sac & Fox Lapidary Club,http://members.iowatelecom.net/billrath/rock_club.html,Fairfield
202,Olathe Gem and Mineral Society,http://olathegemclub.com/,Kansas City
203,Topeka Gem & Mineral Society,http://www.topekagms.org/,Topeka
204,Wichita Gem and Mineral Society,http://www.wgmsks.org/,Wichita
205,Wichita Paleontological Society,http://www.reocities.com/CapeCanaveral/Hangar/4265/home.html,Wichita
206,Blue Grass Gem & Mineral Club of Central Kentucky,http://bggamc.homestead.com/,Lexington
207,KYANA Geological Society,http://www.kyanageo.org/,Louisville
208,Kentucky Paleontological Society,http://www.uky.edu/OtherOrgs/KPS/,Lexington
209,Ark-La-Tex Gem & Mineral Society,http://larockclub.com/,Shreveport
210,Baton Rouge Gem & Mineral Society,http://www.brgemandmineral.org/,Baton Rouge
211,DeRidder Gem & Mineral Society,https://www.facebook.com/DeRidder-Gem-Mineral-Society-1123146734440993/,Leesville
212,Kennebec Rocks and Minerals Club,http://kennebec-rocksandminerals.com/,Winthrop
213,Maine Mineralogical & Geological Society,http://mainemineralclub.org/,Portland
214,Oxford County Mineral and Gem Association,http://ocmgassoc.blogspot.com/,South Paris
215,Penobscot Mineral and Lapidary Club,http://penobscotminerallapidaryclub.com/index.html,Milford
216,American Fossil Federation,http://americanfossilfederation.org/Home.html,Bowie
217,Baltimore Mineral Society,http://www.baltimoremineralsociety.org/,Baltimore
218,Calvert Marine Museum Fossil Club,http://www.calvertmarinemuseum.com/209/Fossil-Club,Solomons
219,Central Maryland Rock and Mineral Collectors Exchange,https://www.meetup.com/rockhounds/,Elkridge
220,Chesapeake Gem & Mineral Society,http://www.chesapeakegemandmineral.org/,Baltimore
221,"Gem Cutters Guild of Baltimore, Inc.",http://www.gemcuttersguild.com/,Baltimore
222,"Gem, Lapidary, and Mineral Society of Montgomery County, MD., Inc.",http://www.glmsmc.com/,Rockville
223,Maryland Geological Society,http://www.ecphora.net/mgs/,Bowie
224,Micromineralogists of the National Capital Area,http://dcmicrominerals.org/,"Washington, DC"
225,Patuxent Lapidary Guild,http://www.patuxentlapidary.org/,Annapolis
226,Southern Maryland Rock and Mineral Club,http://www.smrmc.org/,Clinton
227,The Mineralogical Society of the District of Columbia,http://www.mineralogicalsocietyofdc.org/,"Washington, DC"
228,"Boston Mineral Club, Inc.",http://www.bostonmineralclub.org/,Boston
229,Connecticut Valley Mineral Club,http://www.cvmineralclub.org/,Springfield
230,Micromounters of New England,http://micromountersofnewengland.org/,Chemlsford
231,Nashoba Valley Mineralogical Society,http://www.americantowns.com/ma/westford/organization/nashoba_valley_mineralogical_society,Westford
232,North Shore Rock & Mineral Club of Massachusetts,http://www.northshorerock.org/,South Hamilton
233,Northern Berkshire Mineral Club,http://nbmclub.webs.com/,North Adams
234,Southeastern Massachusetts Mineral Club,http://semmc.com/,Bridgewater
235,Worcester Mineral Club,http://worcestermineralclub.org/,Worcester
236,"Big Rapids Rock, Gem & Mineral Club",https://sites.google.com/site/bigrapidsrockgemmineralclub/,Big Rapids
237,Central Michigan Lapidary and Mineral Society,http://michrocks.org/,Lansing
238,Copper Country Rock and Mineral Club,http://www.ccrmc.info/,Dollar Bay
239,Flint Rock and Gem Club,http://www.flintrockandgem.org/,Flint
240,Grand Traverse Area Rock and Mineral Club,http://tcrockhounds.com/,Traverse City
241,Indian Mounds Rock & Mineral Club,http://www.indianmoundsrockclub.com/,Wyoming
242,Ishpeming Rock and Mineral Club,http://www.ishpemingrocks.org/,Ishpeming
243,Kalamazoo Geological & Mineral Society,http://kalamazoorockclub.org/,Kalamazoo
244,Livingston Gem & Mineral Society,http://www.livingstongemandmineralsociety.com/,Howell
245,Michigan Gem & Mineral Society,http://mgmsrockclub.com/,Michigan Center
246,Michigan Mineralogical Society,https://www.michmin.org/,Bloomfield Hills
247,Mid-Michigan Rock Club,http://www.midmichrockclub.com/?Page=1,Midland
248,Midwest Faceters' Guild,http://www.midwestfaceters.org/,Grand Rapids
249,Midwest Mineralological & Lapidary Society,http://www.mmls.us/,Taylor
250,Mikenauk Rock and Gem Club,http://mikenaukclub.weebly.com/,Roscommon
251,Mount Clemens Gem & Lapidary Society,http://mcgls.org/,Mt. Clemens
252,Oakland County Earth Science Club,http://www.ocesc.com/,Waterford
253,Roamin Club,https://roaminrockclub.weebly.com/,Livonia
254,StateLine Gem & Mineral Society,http://statelinegms.com/,Morenci
255,"Tulip City Gem & Mineral Club, Inc.",http://www.tulipcity.org/,Holland
256,Anoka County Gem & Mineral Club,http://www.amfed.org/mwf/states/Minnesota/AnokaGem.html,Minneapolis
257,"Cuyuna Rock, Gem and Mineral Society",http://cuyunarockclub.org/wp/,Brainerd
258,Minnesota Mineral Club,http://minnesotamineralclub.org/,Falcon Heights
259,Minnesota Valley Gem & Mineral Club,http://www.mnvalleygemandmineralclub.com/,Mankato
260,St Croix Rockhounds,http://stcroixrockhounds.org/,Stillwater
261,"Harrison County Gem & Mineral Society, Inc.",http://www.gulfportgems.org/,Gulfport
262,Mississippi Gem & Mineral Society,http://missgems.org/,Jackson
263,Mississippi Geological Society,http://www.missgeo.com/,Jackson
264,Mississippi Gulf Coast Gem and Mineral Society,http://www.mgcgms.org/,Ocean Springs
265,North Mississippi Gem and Mineral Society,http://www.nmgms.org/,Tupelo
266,Central Missouri Rock and Lapidary Club,http://www.cmrlc.org/,Columbia
267,Independence Gem & Mineral Society,http://www.igams.co/,Independence
268,Missouri Valley Gem & Mineral Society,http://www.movalleyrockclub.com/,St. Joseph
269,"Mozarkite Society of Lincoln, Inc.",http://www.mozarkite.com/,Lincoln
270,Ozark Mountain Gem & Mineral Society,https://www.facebook.com/omgms.57,Springfield
271,Rock Hobby Club of Greater Saint Louis,xxxxxhttp://rockhobby.stlearthsci.org/Home.aspxxxxxx,St. Louis
272,Rockwood Gem & Mineral Society,http://rockwood.stlearthsci.org/,St. Louis
273,St. Louis Mineral & Gem Society,http://www.stlrockclub.com/,St. Louis
274,"Show Me Gems & Minerals Club, Inc.",http://showme.stlearthsci.org/,St. Peters
275,Show-Me Rockhounds Kansas City,https://showmerockhounds.com/,Kansas City
276,"Billings Gem & Mineral Club, Inc.",http://www.billingsgemclub.com/,Billings
277,Bitterroot Gem & Mineral Society,http://www.ravalligemandmineralclub.org/,Corvallis
278,Bozeman Gem and Mineral Club,http://bozemangemandmineralclub.com/,Bozeman
279,Hellgate Mineral Society,https://www.facebook.com/HellgateMineralSociety/,Missoula
280,Kalispell Rockhound Club,http://www.kalispellrockhounds.org/,Kalispell
281,"Lincoln Gem & Mineral Club, Inc.",https://www.lincolngemmineralclub.org/,Lincoln
282,Comstock Gold Prospectors,http://cgpgold.org/,Reno
283,Great Basin Gem & Mineral Club,http://greatbasingemandmineralclub.rocks/,Carson City
284,High Desert Rockers,https://highdesertrockers.wordpress.com/,Carson City
285,Nye Gold Seekers,http://nyegoldseekers.webs.com/,Pahrump
286,Reno Gem and Mineral Society,http://www.renorockhounds.com/,Reno
287,Southern Nevada Gem and Mineral Society,http://www.snvgms.org/,Las Vegas
288,Capital Mineral Club,http://www.capitalmineralclub.org/,Concord
289,Keene Mineral Club,https://sites.google.com/site/keenemineralclub/home,Keene
290,Saco Valley Gem and Mineral Club,http://www.sacovalleygemandmineralclub.org/,Conway
291,Southeastern New Hampshire Mineral Club,https://www.senhmc.org/,Dover
292,Cape Atlantic Rockhounds Inc.,http://www.capeatlanticrockhounds.com/,Cologne
293,Delaware Valley Earth Science Society,http://www.dvess.org/,Woodbury
294,Friends of Mineralogy - New Jersey Chapter,https://fomnj.wordpress.com/,Marlboro Township
295,Morris Museum Mineralogical Society,http://morrismuseum.org/mineral-society/,Morristown
296,"New Jersey Mineralogical Society, Inc",http://www.njmin.org/,Mountainside
297,"North Jersey Mineralogical Society, Inc.",http://www.nojms.webs.com/,Paterson
298,Albuquerque Gem & Mineral Club,http://www.agmc.info/,Albuquerque
299,Carlsbad Gem and Mineral Society,http://www.carlsbadgms.org/,Carlsbad
300,Deming Gem & Mineral Society,http://www.thedgms.com/,Deming
301,"Grant County Rolling Stones Gem & Mineral Society, Inc.",http://rollingstonesgms.blogspot.com/,Silver City
302,Los Alamos Geological Society,http://pweb.netcom.com/~hoffmans/LAGS.html,Los Alamos
303,"Buffalo Geological Society, Inc.",http://www.bgsny.org/,Buffalo
304,Capital District Mineral Club,http://capitaldistrictmineralclub.com/,Albany
305,"Gem and Mineral Society of Syracuse, Inc.",http://www.gmss.us/,Syracuse
306,Island Rockhounds Inc.,http://www.islandrockhounds.org/,Bellmore
307,Long Island Mineral & Geology Society,http://www.limineralandgeology.com/LiMags/Home.html,Jamesport
308,Mid-Hudson Valley Gem and Mineral Society Inc.,http://mhvgms.org/index.html,Poughkeepsie
309,Nassau Mineral Club,http://nassaumineralclub.org/,Glen Cove
310,New York Mineralogical Club,http://www.newyorkmineralogicalclub.org/,NYC
311,New York Paleontological Society,http://www.nyps.org/index.htm,NYC
312,Orange County Mineral Society,http://www.orangecountymineralsocietynewyork.com/,Middletown
313,Rochester Academy of Science,http://www.rasny.org/,Rochester
314,Rochester Lapiday Society,http://www.rochesterlapidary.org/,Rochester
315,St. Lawrence County Rock & Mineral Club,http://stlawrencecountymineralclub.org/,Canton
316,Suffolk Gem & Mineral Club,http://www.suffolkgem.com/,Bay Shore
317,Wayne County Gem and Mineral Club,http://www.wcgmc.org/,Newark
318,Cape Fear Mineral & Gem Society,http://www.mercergarden.com/GemClub.html,Fayetteville
319,Catawba Valley Gem & Mineral Club,http://www.cvgmc.com/,Hickory
320,Central North Carolina Mineral Club,http://www.centralncmineralclub.org/,Chapel Hill
321,Charlotte Gem & Mineral Club,http://www.charlottegem.com/,Charlotte
322,Forsyth Gem and Mineral Club,http://www.forsythgemclub.com/fgmcmain.html,Winston-Salem
323,"Gaston Gem, Mineral and Faceters Club",http://gastongemclub.weebly.com/,Gastonia
324,Gem & Mineral Society of Franklin,http://www.fgmm.org/,Franklin
325,Greensboro Gem & Mineral Club,http://www.ggmc-rockhounds.com/,Greensboro
